Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Slovakia,35,6.391,1.736,1.232,0.707,0.479,0.025,0.118
Estonia,36,6.341,1.793,1.232,0.728,0.689,0.333,0.123
Panama,37,6.309,1.715,1.107,0.709,0.592,0.051,0.049
Brazil,38,6.293,1.462,1.044,0.615,0.546,0.134,0.131
Guatemala,39,6.262,1.274,8.310,0.522,0.662,0.115,0.112
Kazakhstan,40,6.234,1.668,1.220,0.611,0.584,0.157,0.134
Cyprus,41,6.221,1.815,9.090,0.819,0.448,0.062,0.123
Latvia,42,6.180,1.732,1.221,0.637,0.502,0.09,0.075
Serbia,43,6.178,1.550,1.086,0.658,0.546,0.088,0.219
Chile,44,6.172,1.651,1.080,0.748,0.46,0.069,0.124
Nicaragua,45,6.165,1.105,1.029,0.617,0.617,0.212,0.168
Mexico,46,6.128,1.552,8.860,0.623,0.621,0.115,0.092
Croatia,47,6.125,1.705,1.183,0.709,0.535,0,0.109
Poland,48,6.123,1.758,1.174,0.712,0.523,0.14,0.124
El Salvador,49,6.120,1.265,7.680,0.607,0.666,0.212,0.089
Kuwait,50,6.106,1.904,9.830,0.747,0.617,0.147,0.087
Hungary,51,6.086,1.748,1.233,0.668,0.485,0.064,0.078
Mauritius,52,6.071,1.591,1.116,0.568,0.589,0.107,0.131
Uzbekistan,53,6.063,1.219,1.092,0.6,0.716,0.24,0.283
Japan,54,6.039,1.835,1.089,0.866,0.537,0.218,0.007
Honduras,55,6.022,1.111,8.850,0.555,0.582,0.076,0.202
Portugal,56,6.016,1.760,1.078,0.777,0.655,0.039,0.016
Argentina,57,5.967,1.592,1.102,0.662,0.555,0.085,0.081
Greece,58,5.948,1.703,9.800,0.774,0.249,0.108,0.015
South Korea,59,5.935,1.851,8.860,0.841,0.414,0.176,0.111
Philippines,60,5.904,1.268,9.120,0.514,0.678,0.142,0.107
Thailand,61,5.891,1.535,1.096,0.697,0.617,0.026,0.321
Moldova,62,5.857,1.417,1.008,0.597,0.561,0.028,0.102
Jamaica,63,5.850,1.296,1.045,0.646,0.567,0.053,0.08
Kyrgyzstan,64,5.828,1.069,1.109,0.638,0.693,0.025,0.208
Belarus,65,5.821,1.562,1.157,0.629,0.342,0.282,0.04
Colombia,66,5.781,1.452,9.290,0.72,0.545,0.077,0.087
Bosnia and Herzegovina,67,5.768,1.468,1.068,0.665,0.448,0.006,0.244
Mongolia,68,5.761,1.393,1.197,0.467,0.398,0.059,0.247
Dominican Republic,69,5.737,1.538,1.003,0.577,0.606,0.179,0.084
Malaysia,70,5.711,1.689,9.380,0.62,0.654,0.126,0.213
Bolivia,71,5.600,1.256,8.800,0.555,0.627,0.064,0.112
China,72,5.585,1.508,9.580,0.705,0.656,0.142,0.099
Paraguay,73,5.578,1.409,1.130,0.624,0.629,0.059,0.171
Peru,74,5.559,1.397,8.650,0.735,0.545,0.037,0.09
Montenegro,75,5.547,1.573,1.023,0.659,0.46,0.077,0.135
Ecuador,76,5.533,1.352,8.790,0.708,0.565,0.083,0.08
Vietnam,77,5.485,1.252,9.320,0.611,0.707,0.105,0.143
Turkmenistan,78,5.474,1.484,1.319,0.516,0.649,0.032,0.314
North Cyprus,79,5.467,1.815,8.880,0.819,0.523,0.213,0.13
Russia,80,5.459,1.685,1.095,0.586,0.401,0.08,0.117
Hong Kong S.A.R. of China,81,5.425,1.957,9.540,0.942,0.4,0.383,0.147
Armenia,82,5.399,1.434,8.200,0.668,0.558,0.21,0.054
Tajikistan,83,5.377,9.660,1.005,0.518,0.572,0.304,0.118
Nepal,84,5.377,9.840,7.840,0.499,0.519,0.13,0.237
Bulgaria,85,5.371,1.625,1.163,0.64,0.563,0.021,0.123
Libya,86,5.330,1.476,9.430,0.606,0.477,0.179,0.106
Indonesia,87,5.240,1.382,8.830,0.539,0.62,0.047,0.468
Ivory Coast,88,5.235,1.094,4.420,0.322,0.451,0.124,0.149
North Macedonia,89,5.199,1.505,8.630,0.637,0.488,0.031,0.215
Albania,90,5.199,1.439,6.460,0.719,0.511,0.028,0.138
South Africa,91,5.194,1.425,1.088,0.361,0.442,0.046,0.089
Azerbaijan,92,5.173,1.458,1.093,0.56,0.601,0.341,0.023
Gambia,93,5.164,7.850,6.210,0.369,0.367,0.103,0.388
Bangladesh,94,5.155,1.060,6.140,0.581,0.622,0.187,0.125
Laos,95,5.140,1.239,6.540,0.479,0.679,0.184,0.197
Algeria,96,5.122,1.363,9.700,0.643,0.146,0.15,0.106
Liberia,97,5.122,6.360,6.700,0.309,0.405,0.08,0.178
Ukraine,98,5.084,1.411,1.081,0.583,0.473,0.017,0.188
Congo,99,5.075,9.500,4.050,0.355,0.431,0.146,0.13
Morocco,100,5.060,1.208,2.680,0.565,0.492,0.102,0.02
Mozambique,101,5.048,5.780,6.600,0.191,0.593,0.2,0.185
Cameroon,102,5.048,9.680,6.720,0.317,0.397,0.074,0.152
Senegal,103,5.046,9.330,5.300,0.447,0.494,0.081,0.143
Niger,104,5.003,5.700,5.600,0.326,0.571,0.145,0.165
Georgia,105,4.973,1.467,6.120,0.595,0.508,0.208,0
Gabon,106,4.958,1.459,7.380,0.396,0.343,0.099,0.032
Iraq,107,4.941,1.289,6.820,0.554,0.328,0.046,0.147
Venezuela,108,4.925,0.000,9.680,0.578,0.283,0.082,0.225
Guinea,109,4.891,8.480,5.660,0.275,0.334,0.116,0.214
Iran,110,4.888,1.410,7.410,0.642,0.281,0.146,0.241
Ghana,111,4.872,1.112,5.950,0.409,0.5,0.056,0.23
Turkey,112,4.744,1.707,8.650,0.702,0.209,0.115,0.087
Burkina Faso,113,4.670,7.790,5.650,0.32,0.382,0.126,0.186
Cambodia,114,4.640,1.019,7.320,0.505,0.74,0.068,0.166
Benin,115,4.623,9.320,6.400,0.335,0.479,0.23,0.127
Comoros,116,4.609,8.990,4.760,0.424,0.185,0.125,0.195
Uganda,117,4.603,7.770,8.750,0.418,0.402,0.066,0.222
Nigeria,118,4.552,1.079,7.320,0.3,0.444,0.038,0.175
Kenya,119,4.543,1.032,6.050,0.401,0.44,0.082,0.322
Tunisia,120,4.516,1.350,5.960,0.656,0.316,0.029,0.029
Pakistan,121,4.516,1.049,4.130,0.374,0.448,0.112,0.181
Palestinian Territories,122,4.483,1.148,9.570,0.521,0.336,0.079,0.073
Mali,123,4.479,7.920,4.830,0.311,0.35,0.042,0.128
Namibia,124,4.459,1.292,8.770,0.354,0.384,0.071,0.067
Eswatini. Kingdom of,125,4.396,1.274,7.860,0.197,0.259,0.154,0.038
Myanmar,126,4.394,1.038,8.290,0.491,0.513,0.194,0.452
Sri Lanka,127,4.362,1.415,9.340,0.66,0.529,0.079,0.15
Madagascar,128,4.339,6.700,6.450,0.378,0.202,0.154,0.143
Egypt,129,4.288,1.388,7.320,0.548,0.469,0.254,0.041
Chad,130,4.251,6.620,5.060,0.225,0.18,0.077,0.182
Ethiopia,131,4.241,7.880,8.090,0.457,0.472,0.136,0.205
Yemen,132,4.197,6.910,1.043,0.384,0.33,0.098,0.09
Mauritania,133,4.153,1.100,8.650,0.45,0.304,0.138,0.088
Jordan,134,4.152,1.324,7.240,0.675,0.476,0.2,0.058
Togo,135,4.112,7.710,3.220,0.36,0.292,0.132,0.174
India,136,3.777,1.167,3.760,0.471,0.647,0.123,0.198
Zambia,137,3.760,9.300,5.770,0.306,0.525,0.083,0.203
Malawi,138,3.750,6.480,2.790,0.388,0.477,0.157,0.14
Tanzania,139,3.702,8.480,5.970,0.425,0.578,0.27,0.248
Sierra Leone,140,3.574,6.860,4.160,0.273,0.387,0.055,0.202
Lesotho,141,3.512,8.390,8.480,0,0.419,0.018,0.076
Botswana,142,3.471,1.503,8.150,0.28,0.571,0.102,0.012
Rwanda,143,3.268,7.850,1.330,0.462,0.621,0.544,0.187
Zimbabwe,144,2.995,9.470,6.900,0.27,0.329,0.105,0.106
Lebanon,145,2.955,1.392,4.980,0.631,0.103,0.034,0.082
Afghanistan,146,2.404,7.580,0.000,0.289,0,0.005,0.089
