Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Uganda,145,3.739,0.347,0.910,0.196,0.437,0.064,0.271
Yemen,147,3.724,0.579,0.475,0.310,0.229,0.059,0.098
Madagascar,148,3.695,0.280,0.461,0.371,0.137,0.075,0.220
Tanzania,149,3.666,0.472,0.776,0.357,0.318,0.051,0.315
Liberia,150,3.622,0.107,0.504,0.232,0.257,0.049,0.241
Guinea,151,3.607,0.224,0.311,0.188,0.310,0.119,0.299
Rwanda,152,3.515,0.328,0.616,0.319,0.543,0.505,0.236
Benin,153,3.484,0.395,0.104,0.210,0.397,0.067,0.202
Afghanistan,154,3.360,0.382,0.110,0.173,0.164,0.071,0.313
Togo,155,3.303,0.281,0.000,0.248,0.347,0.116,0.175
Syria,156,3.069,0.747,0.149,0.630,0.069,0.172,0.484
Burundi,157,2.905,0.068,0.234,0.157,0.043,0.094,0.203
